#{"t_start": 1753683632.3801727, "env_id": "None"}
r,l,t
-10.0,1,0.975128
4.0,1,0.975494
2.0,1,0.975718
2.0,1,0.975909
-10.0,1,0.976659
-10.0,1,0.976872
5.0,1,0.977058
2.0,1,0.977246
-10.0,1,0.977887
10.0,1,0.978096
-10.0,1,0.978275
1.0,1,0.978483
7.0,1,0.979096
6.0,1,0.979297
4.0,1,0.979496
3.0,1,0.979671
4.0,1,0.980265
10.0,1,0.980483
1.0,1,0.980665
10.0,1,0.98085
-11.0,1,0.981519
0.0,1,0.981725
5.0,1,0.981904
1.0,1,0.982081
1.0,1,0.982696
1.0,1,0.982901
4.0,1,0.983075
-10.0,1,0.983248
4.0,1,0.98388
1.0,1,0.984082
-11.0,1,0.984258
-10.0,1,0.984451
7.0,1,0.985055
2.0,1,0.98525
6.0,1,0.985452
-10.0,1,0.985631
6.0,1,0.986218
2.0,1,0.986433
2.0,1,0.986612
2.0,1,0.986779
-11.0,1,0.987384
5.0,1,0.987582
3.0,1,0.987752
5.0,1,0.987918
7.0,1,0.988542
0.0,1,0.988737
0.0,1,0.98891
1.0,1,0.989074
5.0,1,0.989675
-10.0,1,0.989868
1.0,1,0.990038
4.0,1,0.990203
5.0,1,0.990817
6.0,1,0.99101
1.0,1,0.991177
-12.0,1,0.991365
5.0,1,0.991961
2.0,1,0.992149
10.0,1,0.992319
-10.0,1,0.992516
10.0,1,0.993134
10.0,1,0.993327
2.0,1,0.993531
3.0,1,0.993697
3.0,1,0.99428
10.0,1,0.994496
0.0,1,0.994672
4.0,1,0.994836
2.0,1,0.995461
-11.0,1,0.995657
6.0,1,0.995826
4.0,1,0.995989
5.0,1,0.996574
-10.0,1,0.996767
4.0,1,0.996934
5.0,1,0.997099
3.0,1,0.997721
5.0,1,0.997916
6.0,1,0.998085
5.0,1,0.99825
2.0,1,0.998905
3.0,1,0.999097
6.0,1,0.999266
-10.0,1,0.999457
5.0,1,1.000055
5.0,1,1.000244
4.0,1,1.000445
2.0,1,1.000618
6.0,1,1.001212
-10.0,1,1.001429
4.0,1,1.001606
7.0,1,1.001771
3.0,1,1.002398
3.0,1,1.002598
-8.0,1,1.002768
6.0,1,1.002932
-10.0,1,1.003564
1.0,1,1.003758
10.0,1,1.003928
5.0,1,1.004092
2.0,1,1.004748
-10.0,1,1.004949
5.0,1,1.005136
-11.0,1,1.005322
4.0,1,1.005992
2.0,1,1.006184
10.0,1,1.006379
0.0,1,1.006564
-10.0,1,1.007159
4.0,1,1.007372
2.0,1,1.007547
6.0,1,1.007714
3.0,1,1.008302
-10.0,1,1.008513
1.0,1,1.008688
5.0,1,1.008864
-10.0,1,1.00949
2.0,1,1.009684
10.0,1,1.009855
3.0,1,1.010018
0.0,1,1.010635
4.0,1,1.010831
2.0,1,1.010998
-11.0,1,1.011162
4.0,1,1.011779
2.0,1,1.011969
5.0,1,1.012136
3.0,1,1.012298
4.0,1,1.012918
0.0,1,1.013114
2.0,1,1.013283
4.0,1,1.013476
6.0,1,1.01408
5.0,1,1.014269
6.0,1,1.014464
5.0,1,1.014636
2.0,1,1.015221
5.0,1,1.015451
-12.0,1,1.015632
3.0,1,1.015798
2.0,1,1.016409
1.0,1,1.016604
1.0,1,1.016781
4.0,1,1.016947
3.0,1,1.017558
1.0,1,1.017749
5.0,1,1.017915
4.0,1,1.018079
5.0,1,1.018694
2.0,1,1.018886
2.0,1,1.019053
5.0,1,1.019216
1.0,1,1.019833
1.0,1,1.020024
-10.0,1,1.020192
-10.0,1,1.020395
-10.0,1,1.020998
-10.0,1,1.021187
3.0,1,1.02138
4.0,1,1.021553
3.0,1,1.022143
-10.0,1,1.022332
4.0,1,1.022532
-10.0,1,1.022696
3.0,1,1.023288
2.0,1,1.023499
4.0,1,1.023672
1.0,1,1.023835
5.0,1,1.024452
-11.0,1,1.024645
2.0,1,1.024812
5.0,1,1.024973
5.0,1,1.025584
4.0,1,1.025778
3.0,1,1.025945
-10.0,1,1.026109
-10.0,1,1.026724
0.0,1,1.026917
5.0,1,1.02709
2.0,1,1.027256
3.0,1,1.027874
2.0,1,1.028064
3.0,1,1.028231
5.0,1,1.028418
5.0,1,1.02901
6.0,1,1.029196
3.0,1,1.029386
-10.0,1,1.029559
-8.0,1,1.030158
6.0,1,1.030368
1.0,1,1.030545
6.0,1,1.030708
-10.0,1,1.031298
-11.0,1,1.031507
6.0,1,1.031679
1.0,1,1.031843
3.0,1,1.032457
-11.0,1,1.032648
6.0,1,1.032815
10.0,1,1.032979
7.0,1,1.033581
4.0,1,1.033777
0.0,1,1.033944
7.0,1,1.034107
10.0,1,1.034715
4.0,1,1.034915
5.0,1,1.035083
0.0,1,1.035245
4.0,1,1.035877
2.0,1,1.03608
1.0,1,1.036246
1.0,1,1.036437
-10.0,1,1.037041
4.0,1,1.037232
-11.0,1,1.037428
2.0,1,1.037601
